#rank	chr	start	end	strand
999	13	28861000	28862466	+
1000	6	90665131	90666157	+
1001	6	27762370	27763049	+
1002	12	98550181	98551081	+
1003	15	57971569	57972706	+
1004	2	170389495	170389935	+
1005	6	61136856	61137757	+
1006	X	10311257	10311790	+
1007	5	21157907	21158546	+
1008	18	37337651	37338825	+
1009	3	149712756	149713875	+
1010	5	13615312	13616076	+
1011	4	83783002	83783954	+
1012	3	82466355	82467593	+
1013	16	18185888	18186632	+
1014	3	143529204	143530147	+
1015	18	36032522	36035082	+
1016	10	87329763	87332895	+
1017	X	162872603	162873148	+
1018	12	71211640	71212555	+
1019	7	80739474	80740699	+
1020	9	40532436	40533324	+
1021	17	79544183	79545186	+
1022	8	85413038	85413784	+
1023	18	25696701	25697336	+
1024	4	142357275	142358235	+
1025	2	145305403	145305950	+
1026	17	12183179	12184086	+
1027	11	102090275	102091066	+
1028	11	25946704	25947312	+
1029	14	29065543	29066247	+
1030	12	94915638	94916367	+
1031	8	26366496	26367715	+
1032	10	5632796	5633632	+
1033	3	86186308	86186974	+
1034	6	72660787	72662070	+
1035	13	24549180	24549829	+
1036	9	29458352	29459190	+
1037	4	62405867	62406960	+
1038	8	59211922	59212606	+
1039	5	150039821	150041061	+
1040	6	52320867	52321502	+
1041	4	128375152	128376056	+
1042	1	84579166	84580012	+
1043	18	55061309	55062417	+
1044	19	14758765	14759548	+
1045	18	80790187	80791186	+
1046	10	30728886	30729591	+
1047	11	89188506	89189313	+
1048	4	97889845	97890757	+
1049	15	73906291	73906937	+
1050	16	73449947	73450744	+
1051	12	98441777	98442517	+
1052	18	66532067	66533340	+
1053	7	82580845	82581759	+
1054	13	51353763	51354926	+
1055	5	40107144	40107925	+
1056	19	43727510	43728221	+
1057	5	99797836	99798671	+
1058	15	94076571	94077785	+
1059	14	46445128	46446365	+
1060	2	154290731	154291120	+
1061	13	32062568	32063528	+
1062	11	51356899	51357541	+
1063	17	82636623	82637336	+
1064	4	149286644	149287590	+
1065	12	70182756	70183648	+
1066	13	64019657	64020441	+
1067	17	44541661	44542837	+
1068	12	86183234	86184958	+
1069	2	74536152	74537760	+
1070	13	56203348	56204514	+
1071	9	63619475	63620221	+
1072	12	10578650	10579487	+
1073	8	84163388	84164181	+
1074	17	87636260	87637668	+
1075	19	55661878	55663191	+
1076	3	86351815	86353094	+
1077	15	90231043	90232092	+
1078	7	102868321	102869114	+
1079	11	112644473	112646811	+
1080	12	76495049	76495837	+
1081	1	135637961	135639720	+
1082	3	84055236	84055975	+
1083	11	35823027	35823759	+
1084	5	121020782	121021594	+
1085	5	29794531	29795173	+
1086	9	87977395	87978589	+
1087	3	98914701	98915579	+
1088	2	80287790	80288964	+
1089	7	143199208	143200014	+
1090	17	33061188	33061948	+
1091	11	64730291	64730877	+
1092	4	64853660	64854645	+
1093	4	49006749	49007413	+
1094	3	141586476	141587414	+
1095	4	13197210	13197491	+
1096	3	34186479	34187356	+
1097	1	141104056	141104918	+
1098	5	77293845	77294489	+
1099	19	25930741	25931544	+
1100	11	57640764	57641513	+
1101	16	4963972	4964875	+
1102	1	163946538	163948918	+
1103	12	16737447	16738584	+
1104	5	106762720	106763219	+
1105	18	69243778	69244881	+
1106	19	60091035	60092653	+
1107	4	114319422	114320265	+
1108	10	44729272	44730264	+
1109	9	30784036	30784685	+
1110	2	151939773	151940471	+
1111	6	33991159	33991580	+
1112	3	86561679	86562515	+
1113	12	81359562	81361234	+
1114	6	32331563	32332138	+
1115	11	69357049	69357606	+
1116	4	85935235	85936477	+
1117	2	170372844	170373558	+
1118	12	38267342	38268127	+
1119	10	68741356	68742081	+
1120	12	8810207	8812258	+
1121	4	70791927	70793279	+
1122	2	129625777	129626497	+
1123	2	168452960	168454176	+
1124	18	52953922	52954783	+
1125	11	69694063	69695588	+
1126	2	180323999	180325004	+
1127	5	114988603	114989700	+
1128	1	127456701	127457505	+
1129	15	85930900	85931623	+
1130	17	44995354	44996339	+
1131	16	20802367	20802990	+
1132	15	85014207	85015008	+
1133	16	73462697	73463306	+
1134	14	104094726	104095435	+
1135	13	56260828	56262134	+
1136	8	117801410	117802334	+
1137	13	64081424	64082322	+
1138	11	64711846	64713800	+
1139	17	14612306	14613620	+
1140	5	66927848	66928838	+
1141	3	34342655	34343525	+
1142	6	72166109	72168684	+
1143	16	17131653	17132443	+
1144	1	135134260	135134920	+
1145	1	95073162	95074230	+
1146	9	75886075	75886795	+
1147	11	59118189	59119438	+
1148	5	4834813	4835428	+
1149	15	26510513	26511420	+
1150	15	49705408	49706739	+
1151	19	50686072	50686714	+
1152	7	149733648	149735131	+
1153	12	55697789	55698117	+
1154	5	36663883	36664805	+
1155	15	12560581	12561487	+
1156	11	19735602	19736542	+
1157	11	19440194	19440907	+
1158	1	165287866	165288585	+
1159	16	37801606	37802798	+
1160	8	111056606	111057386	+
1161	7	51859820	51860272	+
1162	11	113447692	113448444	+
1163	9	49486979	49489616	+
1164	10	98724822	98727610	+
1165	13	32390261	32391210	+
1166	6	77235904	77236807	+
1167	3	141172398	141173229	+
1168	14	66568851	66569213	+
1169	14	19102166	19103288	+
1170	4	124733629	124734611	+
1171	14	24342891	24344415	+
1172	18	55783328	55784312	+
1173	7	28932620	28933448	+
1174	10	120664729	120667144	+
1175	3	147715498	147716127	+
1176	2	113514612	113515470	+
1177	11	95539176	95539972	+
1178	7	124401994	124402417	+
1179	18	16847801	16848632	+
1180	4	104877881	104879485	+
1181	3	107819924	107820764	+
1182	13	37584093	37584835	+
1183	5	125659615	125660371	+
1184	18	43527672	43528599	+
1185	1	57382331	57383171	+
1186	9	33836808	33837847	+
1187	3	129789340	129790650	+
1188	17	86331423	86332434	+
1189	17	49386386	49387113	+
1190	7	150055963	150056363	+
1191	18	33618302	33618974	+
1192	17	80127904	80128821	+
1193	7	89863664	89865189	+
1194	13	60029068	60029664	+
1195	6	147373769	147374493	+
1196	3	99513344	99514232	+
1197	9	87302811	87303999	+
1198	2	65831139	65832007	+
1199	X	140752460	140754328	+
1200	9	55246726	55247457	+
1201	13	32125581	32126724	+
1202	1	172630824	172631576	+
1203	5	68129252	68129843	+
1204	8	8344080	8344553	+
1205	5	135265873	135266725	+
1206	12	107149684	107150264	+
1207	6	84533634	84535643	+
1208	8	27103547	27104354	+
1209	19	24700090	24700728	+
1210	1	38534752	38535567	+
1211	13	76236177	76236939	+
1212	16	10565463	10566102	+
1213	8	114535634	114536676	+
1214	13	63820647	63821534	+
1215	17	23832079	23833404	+
1216	11	111822532	111823563	+
1217	7	77475925	77476897	+
1218	5	12423128	12423798	+
1219	4	142919590	142919805	+
1220	15	50497419	50498082	+
1221	18	24935097	24936152	+
1222	12	53703316	53704921	+
1223	11	110510108	110511568	+
1224	6	127200355	127202431	+
1225	5	113147431	113148080	+
1226	17	75288326	75289229	+
1227	19	60320864	60321472	+
1228	9	111162750	111163251	+
1229	19	30369173	30369967	+
1230	12	109192629	109193278	+
1231	8	34954018	34954683	+
1232	7	79870583	79871560	+
1233	3	141761901	141762591	+
1234	7	124588978	124589341	+
1235	4	128312838	128314598	+
1236	8	82361667	82362366	+
1237	6	16897701	16898402	+
1238	19	55823329	55824924	+
1239	12	111426191	111427715	+
1240	6	145124674	145125980	+
1241	8	120376098	120376922	+
1242	4	97771727	97775337	+
1243	8	80035846	80036540	+
1244	18	54501487	54502474	+
1245	6	144735831	144737198	+
1246	11	111986336	111987651	+
1247	13	96672287	96672648	+
1248	2	75353446	75354587	+
1249	5	47827554	47828314	+
1250	15	83807320	83808109	+
1251	9	32352511	32353764	+
1252	11	40207705	40209457	+
1253	17	50609458	50610258	+
1254	11	87256983	87257214	+
1255	2	46048346	46048950	+
1256	12	35549820	35550444	+
1257	6	52161661	52162594	+
1258	6	31190122	31190538	+
1259	4	154124708	154125794	+
1260	8	88015614	88016450	+
1261	15	35462835	35463572	+
1262	17	7408883	7409792	+
1263	15	83827335	83827841	+
1264	1	169368585	169369603	+
1265	14	55067870	55068427	+
1266	17	26078407	26079340	+
1267	19	32688823	32689873	+
1268	5	36739573	36740668	+
1269	14	25883526	25884482	+
1270	6	31973055	31973772	+
1271	8	94532204	94532963	+
1272	9	49481779	49483292	+
1273	18	54772498	54773813	+
1274	12	41204114	41204892	+
1275	8	59310943	59312604	+
1276	11	95851690	95853591	+
1277	8	93580469	93581260	+
1278	5	125674249	125675770	+
1279	3	118250593	118251301	+
1280	9	72605315	72607044	+
1281	17	44569253	44570256	+
1282	2	154879859	154880982	+
1283	12	29484274	29485170	+
1284	9	87633005	87634525	+
1285	9	23110064	23110467	+
1286	11	85829163	85831018	+
1287	17	46764047	46765588	+
1288	5	53711162	53712598	+
1289	6	52140548	52141286	+
1290	6	49063617	49064379	+
1291	18	57134473	57134954	+
1292	9	36929294	36930163	+
1293	4	56150511	56151237	+
1294	17	17541380	17542463	+
1295	1	52316026	52316703	+
1296	5	50513842	50514855	+
1297	4	8883621	8885774	+
1298	3	131792491	131793407	+
1299	8	126415352	126416042	+
1300	3	139326549	139327433	+
1301	9	95854978	95855443	+
1302	3	155803970	155804876	+
1303	6	61165503	61166962	+
1304	18	56348365	56349234	+
1305	18	55137873	55139752	+
1306	6	125460573	125461283	+
1307	17	37183714	37184307	+
1308	10	96999605	97000120	+
1309	8	80352944	80354280	+
1310	12	74467950	74469864	+
1311	3	123121111	123121541	+
1312	15	102865429	102866104	+
1313	5	99619905	99620825	+
1314	3	99769814	99770893	+
1315	11	119975703	119976537	+
1316	5	107650833	107651964	+
1317	11	45742209	45743121	+
1318	X	71114495	71115250	+
1319	15	33262278	33263092	+
1320	12	27294949	27295568	+
1321	17	46065820	46066962	+
1322	5	30153256	30153943	+
1323	14	64331769	64332317	+
1324	7	56643242	56643934	+
1325	8	99912851	99913539	+
1326	4	149058387	149059542	+
1327	9	40494430	40495777	+
1328	16	63816927	63817755	+
1329	18	6819855	6820537	+
1330	11	59952296	59954324	+
1331	13	37207759	37208546	+
1332	11	8558907	8559734	+
1333	4	20766134	20766781	+
1334	5	104367455	104368433	+
1335	5	23287320	23287852	+
1336	2	49922054	49922998	+
1337	18	55188120	55188921	+
1338	2	75627962	75628640	+
1339	3	129200149	129200839	+
1340	13	40527593	40528162	+
1341	2	6588566	6589211	+
1342	10	44128644	44129545	+
1343	5	87212980	87213377	+
1344	7	148296526	148297331	+
1345	4	72256421	72256919	+
1346	8	19784511	19785129	+
1347	17	43671367	43673340	+
1348	6	51758662	51759730	+
1349	11	89579543	89580389	+
1350	8	47248314	47249004	+
1351	5	132186520	132187921	+
1352	3	20172451	20173240	+
1353	9	25058997	25060073	+
1354	4	133221211	133221607	+
1355	2	110219784	110220305	+
1356	13	102503362	102504042	+
1357	18	54281050	54281915	+
1358	14	103099484	103100497	+
1359	14	69552622	69553646	+
1360	13	63826537	63827608	+
1361	1	113595773	113596503	+
1362	7	80534746	80535813	+
1363	7	70941281	70941497	+
1364	12	106560213	106560918	+
1365	16	23576933	23577480	+
1366	16	36931814	36932779	+
1367	4	150663102	150663786	+
1368	8	123604010	123605471	+
1369	10	97948037	97948881	+
1370	4	154115151	154115703	+
1371	13	98554918	98556031	+
1372	10	56699243	56700039	+
1373	4	99887149	99888028	+
1374	18	43000674	43001400	+
1375	7	144196687	144197268	+
1376	4	13192074	13193055	+
1377	3	41753143	41754138	+
1378	15	63025499	63026205	+
1379	11	65181209	65181770	+
1380	7	144489180	144490349	+
1381	19	56726993	56727563	+
1382	2	128104132	128105230	+
1383	18	80575296	80576404	+
1384	11	80241542	80242245	+
1385	4	12522953	12524651	+
1386	8	80235581	80236218	+
1387	6	8027362	8027777	+
1388	8	129397449	129398025	+
1389	10	36194757	36195290	+
1390	7	81224984	81225530	+
1391	8	27873929	27874401	+
1392	2	133564684	133565136	+
1393	16	31458362	31459171	+
1394	16	21074784	21075346	+
1395	9	123291174	123292188	+
1396	2	163975707	163976610	+
1397	11	115273256	115274870	+
1398	7	90386229	90387751	+
1399	2	113531810	113532509	+
1400	6	124869311	124870786	+
1401	17	15966400	15967653	+
1402	4	149551712	149552582	+
1403	17	29848921	29850168	+
1404	4	49639743	49640162	+
1405	17	46200272	46200912	+
1406	1	110177942	110178345	+
1407	11	32625035	32625483	+
1408	19	3641672	3642769	+
1409	3	66874338	66875494	+
1410	9	108138711	108139059	+
1411	7	81206692	81207479	+
1412	10	92019292	92020511	+
1413	1	62062968	62063765	+
1414	1	181127568	181129129	+
1415	5	47820219	47821220	+
1416	11	35258223	35259187	+
1417	18	48560064	48560639	+
1418	16	9354780	9355075	+
1419	15	10396053	10396365	+
1420	10	16820327	16821284	+
1421	2	164692254	164692618	+
1422	10	43298915	43301284	+
1423	5	48404677	48405589	+
1424	3	110147390	110148442	+
1425	5	53767910	53768918	+
1426	4	82818267	82818840	+
1427	15	32877584	32878426	+
1428	12	54511468	54512091	+
1429	3	98794498	98795651	+
1430	17	55506326	55507262	+
1431	8	105690094	105691366	+
1432	18	14054640	14055759	+
1433	10	10574221	10574711	+
1434	1	175291771	175292361	+
1435	1	194622261	194622984	+
1436	7	103808902	103810200	+
1437	12	54429144	54429987	+
1438	16	76679763	76681195	+
1439	12	106007381	106007987	+
1440	9	20661468	20661999	+
1441	4	133576367	133576844	+
1442	2	106490090	106490711	+
1443	3	101180356	101181087	+
1444	5	111654102	111654644	+
1445	9	106359256	106360201	+
1446	3	141682637	141683251	+
1447	7	29738324	29739278	+
1448	2	160017699	160018509	+
1449	10	43344065	43345152	+
1450	4	131474587	131475281	+
1451	11	81953025	81953495	+
1452	5	19049004	19049623	+
1453	9	87759806	87760616	+
1454	19	20102200	20102821	+
1455	17	27177928	27178610	+
1456	10	107176803	107177532	+
1457	13	89880177	89882053	+
1458	1	38699080	38700136	+
1459	9	65017428	65018139	+
1460	2	159240087	159240651	+
1461	17	45373502	45374229	+
1462	18	14386064	14386711	+
1463	5	132536457	132537406	+
1464	10	66548375	66549089	+
1465	11	98917004	98917844	+
1466	7	38122076	38123458	+
1467	6	52551348	52552102	+
1468	7	78792903	78793777	+
1469	3	48318752	48319437	+
1470	6	52728203	52728886	+
1471	7	103800502	103801702	+
1472	14	46624928	46626411	+
1473	3	100915148	100916395	+
1474	5	144417425	144418170	+
1475	5	58111033	58112176	+
1476	12	10428802	10429646	+
1477	3	101415521	101416102	+
1478	12	41309954	41310314	+
1479	6	90686982	90687731	+
1480	11	69483780	69485529	+
1481	16	72923589	72924331	+
1482	13	34391638	34392438	+
1483	7	121209595	121210503	+
1484	6	51126770	51128213	+
1485	12	108981936	108982750	+
1486	17	54824728	54825416	+
1487	2	50199180	50199562	+
1488	2	37951625	37952353	+
1489	2	10365452	10366215	+
1490	17	39265897	39266323	+
1491	11	118903976	118905140	+
1492	6	63996227	63996994	+
1493	12	106692764	106693898	+
1494	2	6404530	6405132	+
1495	6	52220686	52221771	+
1496	9	87826519	87827405	+
1497	17	24665316	24666843	+
1498	7	89959467	89960438	+
1499	14	96262129	96262921	+
1500	16	72648634	72649562	+
1501	5	107517186	107517872	+
1502	4	49824000	49824657	+
1503	4	154211714	154212507	+
1504	6	112459977	112460975	+
1505	7	87984215	87984913	+
1506	4	148245565	148246697	+
1507	8	45540712	45541944	+
1508	16	85680507	85681269	+
1509	12	118490053	118491496	+
1510	2	93815295	93816556	+
1511	12	29076960	29077931	+
1512	8	94512486	94513122	+
1513	2	154280155	154280909	+
1514	19	59762503	59763294	+
1515	8	111998392	111999588	+
1516	15	81689836	81690787	+
1517	8	18425296	18425546	+
1518	9	55456606	55457385	+
1519	4	115634863	115636601	+
1520	3	53509384	53510282	+
1521	2	115219630	115220514	+
1522	19	47993422	47994436	+
1523	18	69773364	69774745	+
1524	18	76254441	76255107	+
1525	4	65975571	65976287	+
1526	19	27504258	27504957	+
1527	8	35532706	35533312	+
1528	11	111689839	111690461	+
1529	2	58620978	58622371	+
1530	4	150699592	150700145	+
1531	3	130839396	130840728	+
1532	7	4863169	4863462	+
1533	4	59725799	59726434	+
1534	6	54095765	54096822	+
1535	2	134904586	134905090	+
1536	3	41661074	41661896	+
1537	17	4861060	4861467	+
1538	8	48829757	48830265	+
1539	16	94059699	94060568	+
1540	7	136932714	136933278	+
1541	3	87018192	87018560	+
1542	11	56948043	56948770	+
1543	7	99413150	99413739	+
1544	11	35200467	35203578	+
1545	5	12441685	12442804	+
1546	8	10946191	10946891	+
1547	16	28928488	28929531	+
1548	3	66223775	66224528	+
1549	17	4308754	4309394	+
1550	13	90108308	90108782	+
1551	16	97711050	97711589	+
1552	8	59914362	59915205	+
1553	1	73410117	73410823	+
1554	3	30002740	30004441	+
1555	14	116608498	116609129	+
1556	5	125665019	125665866	+
1557	1	165304275	165304954	+
1558	3	63385827	63386522	+
1559	18	55142811	55143886	+
1560	8	92565341	92566139	+
1561	1	165599997	165601212	+
1562	13	64070804	64071736	+
1563	6	113481218	113481861	+
1564	1	173079967	173081143	+
1565	2	106417040	106417599	+
1566	9	77187259	77188227	+
1567	6	100920794	100921340	+
1568	11	53870957	53872344	+
1569	12	118840090	118840732	+
1570	7	150480987	150482739	+
1571	16	30070625	30071276	+
1572	4	47437082	47438063	+
1573	9	61232736	61233359	+
1574	15	51708895	51709796	+
1575	7	130715954	130716362	+
1576	8	123060070	123061256	+
1577	5	147731447	147732066	+
1578	16	11538433	11538911	+
1579	X	163820691	163821023	+
1580	8	10924462	10925701	+
1581	2	64859474	64860465	+
1582	15	56257419	56258125	+
1583	11	101488606	101489828	+
1584	1	160372108	160372652	+
1585	11	107670667	107671539	+
1586	9	101988188	101989200	+
1587	7	137344368	137344775	+
1588	12	118906236	118907597	+
1589	18	38743514	38744299	+
1590	8	5482726	5483231	+
1591	10	119677162	119678296	+
1592	16	52988789	52989919	+
1593	12	12407895	12408716	+
1594	2	155769145	155770121	+
1595	5	129086933	129088154	+
1596	3	49395313	49396123	+
1597	3	148809526	148810146	+
1598	3	121518772	121519443	+
1599	18	54987801	54989812	+
1600	5	119829896	119830855	+
1601	10	41776660	41777540	+
1602	16	73491079	73491819	+
1603	17	8589318	8589994	+
1604	1	135492934	135493742	+
1605	11	69180368	69182088	+
1606	12	27495378	27496318	+
1607	11	16714218	16714778	+
1608	2	128098314	128098814	+
1609	11	117061026	117062186	+
1610	11	20814007	20815676	+
1611	6	92890589	92891615	+
1612	1	68678791	68679451	+
1613	8	86117624	86118639	+
1614	5	118766311	118767007	+
1615	11	109131036	109132055	+
1616	10	70809960	70810244	+
1617	8	42880634	42881145	+
1618	13	55522469	55523581	+
1619	19	18494546	18495322	+
1620	11	24585946	24586599	+
1621	15	50496083	50496840	+
1622	3	144040920	144041927	+
1623	15	57355185	57355905	+
1624	1	82472911	82473833	+
1625	12	4178644	4179465	+
1626	6	66938177	66938913	+
1627	7	143249732	143251124	+
1628	7	80724111	80724482	+
1629	9	72614421	72615140	+
1630	18	47432186	47433192	+
1631	4	83476893	83478027	+
1632	16	90122277	90123082	+
1633	12	109478608	109479148	+
1634	5	74828353	74830117	+
1635	7	81491131	81491577	+
1636	10	66509968	66510829	+
1637	18	59120567	59121547	+
1638	2	155068679	155069483	+
1639	8	70607390	70608170	+
1640	4	124649111	124649940	+
1641	18	59771641	59772289	+
1642	3	96304725	96306032	+
1643	2	165001854	165002687	+
1644	2	172066534	172066886	+
1645	17	86319343	86319875	+
1646	9	62460323	62461266	+
1647	16	94041238	94042041	+
1648	5	149402683	149403443	+
1649	4	13700463	13701150	+
1650	4	45861136	45862192	+
1651	10	45613452	45614754	+
1652	5	150386226	150387074	+
1653	8	92776486	92777105	+
1654	15	86461333	86462140	+
1655	1	132927695	132928533	+
1656	1	173199934	173200642	+
1657	2	90585209	90585709	+
1658	10	78149739	78150217	+
1659	3	30992354	30993136	+
1660	12	27098430	27098980	+
1661	16	69980007	69980910	+
1662	6	144402562	144403302	+
1663	8	44375571	44376327	+
1664	2	51093915	51094851	+
1665	18	64844438	64844830	+
1666	5	123768104	123768708	+
1667	14	23934212	23935400	+
1668	6	117109593	117110771	+
1669	9	32527684	32529544	+
1670	11	32831248	32832303	+
1671	9	60918730	60919453	+
1672	11	18614323	18614894	+
1673	11	89717501	89718247	+
1674	8	97427549	97428430	+
1675	18	39168361	39169092	+
1676	14	104696864	104697829	+
1677	12	73946484	73947580	+
1678	6	90994346	90994859	+
1679	6	93130447	93131254	+
1680	19	56160901	56162262	+
1681	2	51001240	51004191	+
1682	12	83474868	83475531	+
1683	15	83138989	83140488	+
1684	12	105357989	105358684	+
1685	13	90179092	90179818	+
1686	6	143808079	143808825	+
1687	8	62748942	62749717	+
1688	15	93316931	93317790	+
1689	6	84141397	84142319	+
1690	4	82351567	82352411	+
1691	3	67434970	67435622	+
1692	10	61288193	61290653	+
1693	10	37461101	37461948	+
1694	13	114517968	114518835	+
1695	2	159256244	159257315	+
1696	17	45400874	45402003	+
1697	2	16714454	16714963	+
1698	13	39503376	39504592	+
1699	4	14117491	14118214	+
1700	12	58117262	58117901	+
1701	15	93836423	93837643	+
1702	3	149420601	149421458	+
1703	15	41751682	41752372	+
1704	11	24650003	24650831	+
1705	1	88337436	88339194	+
1706	13	51374967	51375951	+
1707	15	35222856	35224633	+
1708	5	53764416	53765094	+
1709	10	58063998	58064762	+
1710	14	80140015	80140830	+
1711	6	101213432	101213896	+
1712	17	78880604	78881731	+
1713	8	82579645	82580709	+
1714	19	56965467	56966152	+
1715	9	114468718	114471422	+
1716	18	42212129	42212827	+
1717	5	32715086	32716351	+
1718	2	74439616	74440595	+
1719	16	62468636	62469345	+
1720	5	77006131	77006841	+
1721	12	86568130	86568707	+
1722	7	75272477	75274318	+
1723	3	122220981	122221744	+
1724	15	84996556	84997808	+
1725	13	72155102	72155631	+
1726	6	100533731	100534369	+
1727	2	181254459	181255219	+
1728	2	37827164	37828525	+
1729	10	58966775	58967317	+
1730	5	115611078	115611804	+
1731	5	84068510	84069416	+
1732	9	108480075	108481721	+
1733	6	32356631	32357273	+
1734	15	94004499	94005293	+
1735	8	130333370	130334060	+
1736	2	115694752	115695800	+
1737	3	136952578	136953119	+
1738	2	75797222	75798369	+
1739	3	54203533	54204208	+
1740	17	79900094	79900783	+
1741	11	3188241	3190020	+
1742	6	116935088	116935809	+
1743	18	58996351	58997242	+
1744	9	45253153	45254102	+
1745	18	55146765	55151299	+
1746	5	111475981	111476591	+
1747	18	53241368	53242369	+
1748	1	184603361	184603909	+
1749	5	90591891	90592466	+
1750	9	116585683	116586176	+
1751	11	44950113	44953088	+
1752	15	101052029	101053045	+
1753	11	89269254	89269893	+
1754	5	120982836	120984468	+
1755	11	20730107	20730702	+
1756	6	125952615	125954022	+
1757	9	60983131	60984272	+
1758	8	80338715	80339878	+
1759	16	49332329	49332990	+
1760	3	31699952	31700889	+
1761	2	169425562	169426150	+
1762	13	32072944	32073647	+
1763	2	71467198	71468349	+
1764	7	28070182	28070774	+
1765	1	78305984	78306648	+
1766	15	102863102	102863673	+
1767	8	43072679	43074016	+
1768	2	74527228	74528922	+
1769	8	129349914	129350792	+
1770	4	48920460	48921548	+
1771	7	77889091	77889645	+
1772	11	69883570	69883848	+
1773	7	76062036	76063095	+
1774	16	59638932	59639952	+
1775	12	120596001	120597078	+
1776	8	111195918	111196688	+
1777	10	80300301	80300726	+
1778	16	96422548	96423261	+
1779	2	59460565	59461462	+
1780	8	92308763	92309194	+
1781	13	63867171	63867784	+
1782	8	110300796	110301570	+
1783	19	15672417	15672855	+
1784	7	148562220	148562806	+
1785	4	116770624	116771673	+
1786	11	50028912	50030391	+
1787	3	53157292	53158173	+
1788	13	28902832	28904143	+
1789	5	119710986	119711681	+
1790	5	150170716	150170962	+
1791	7	71984500	71985331	+
1792	9	118586912	118587551	+
1793	7	90209003	90209896	+
1794	8	8240934	8241515	+
1795	5	128893747	128894442	+
1796	15	38639120	38639953	+
1797	4	106582662	106583485	+
1798	6	51095649	51096609	+
1799	5	148445286	148446021	+
1800	3	135461291	135462076	+
1801	14	121533507	121534152	+
1802	6	100109513	100109796	+
1803	8	87470892	87471578	+
1804	11	104156661	104157436	+
1805	2	28653065	28653591	+
1806	3	65461984	65463711	+
1807	3	138189136	138189977	+
1808	16	43800241	43800957	+
1809	17	49970676	49971334	+
1810	2	174674578	174675932	+
1811	11	45547884	45548437	+
1812	16	29746205	29747045	+
1813	3	115440480	115441231	+
1814	9	115842421	115843214	+
1815	6	66150005	66150584	+
1816	6	37821222	37822369	+
1817	7	90996083	90996549	+
1818	11	53940101	53940985	+
1819	17	56381243	56381913	+
1820	15	93833154	93833893	+
1821	6	100094092	100094901	+
1822	X	141836556	141837391	+
1823	9	87399647	87400641	+
1824	1	76243412	76244300	+
1825	9	71171186	71171562	+
1826	12	86827195	86828083	+
1827	6	72198256	72199128	+
1828	11	108447867	108448526	+
1829	17	34164778	34165706	+
1830	12	106783822	106784799	+
1831	3	128373174	128373835	+
1832	10	98731013	98732611	+
1833	1	163965731	163967814	+
1834	7	77778446	77779244	+
1835	18	54881036	54881776	+
1836	2	75104352	75104977	+
1837	11	35089064	35090427	+
1838	9	102768278	102769061	+
1839	17	25610998	25611883	+
1840	9	85301707	85302483	+
1841	2	117421418	117421976	+
1842	18	44803545	44804078	+
1843	12	107716956	107717958	+
1844	11	44611632	44612398	+
1845	8	94810505	94811671	+
1846	1	194727018	194728174	+
1847	9	48630753	48631715	+
1848	7	75055391	75056560	+
1849	8	37610319	37612106	+
1850	11	119263810	119264250	+
1851	7	137371966	137372399	+
1852	16	74093447	74094139	+
1853	12	37517271	37518467	+
1854	5	100019846	100020653	+
1855	5	73405922	73406284	+
1856	16	55147904	55148531	+
1857	16	70964867	70965559	+
1858	1	14347714	14348380	+
1859	15	32525758	32526423	+
1860	13	28500566	28501373	+
1861	9	44689510	44691751	+
1862	17	29336223	29336729	+
1863	15	10566781	10567464	+
1864	2	37829162	37830309	+
1865	X	137490736	137491433	+
1866	9	78692418	78693408	+
1867	17	68420503	68421160	+
1868	9	117076054	117076884	+
1869	15	34758825	34759460	+
1870	19	46672970	46673968	+
1871	2	27045188	27046324	+
1872	9	108728801	108729737	+
1873	12	113051974	113053518	+
1874	7	56560775	56561904	+
1875	16	37777628	37778606	+
1876	16	87319542	87320758	+
1877	11	24587977	24589248	+
1878	12	28940290	28940825	+
1879	17	8581052	8582645	+
1880	5	27248281	27249069	+
1881	19	44793887	44794682	+
1882	13	81922067	81922529	+
1883	3	141891168	141892362	+
1884	12	8038572	8039343	+
1885	9	71184919	71185957	+
1886	1	165782726	165783777	+
1887	10	67588739	67589439	+
1888	2	28821478	28822356	+
1889	9	35246449	35246934	+
1890	3	131153330	131154311	+
1891	1	57962791	57963402	+
1892	2	73410826	73411486	+
1893	7	89531177	89532487	+
1894	10	90898858	90899492	+
1895	17	45218037	45218680	+
1896	14	68081667	68082391	+
1897	1	75840631	75841599	+
1898	11	112036430	112037110	+
1899	2	74986084	74987409	+
1900	8	8210727	8211421	+
1901	16	95921655	95922459	+
1902	1	62488023	62488692	+
1903	17	81735354	81736259	+
1904	4	22016764	22017420	+
1905	15	51460863	51461319	+
1906	10	84193564	84194428	+
1907	3	55276910	55277624	+
1908	14	105971197	105972264	+
1909	1	57534263	57535615	+
1910	10	125606365	125606976	+
1911	8	123436244	123437262	+
1912	2	45516292	45516917	+
1913	4	94764538	94765751	+
1914	10	110990612	110991236	+
1915	3	99065146	99067545	+
1916	4	95043088	95043628	+
1917	11	31902944	31903894	+
1918	9	61466020	61466968	+
1919	12	11202689	11203254	+
1920	2	109974899	109975624	+
1921	8	73017508	73020051	+
1922	2	168443538	168444320	+
1923	14	73228895	73229438	+
1924	9	57436667	57437601	+
1925	17	10591012	10591872	+
1926	17	68046988	68047894	+
1927	9	71117986	71118773	+
1928	2	163691289	163692293	+
1929	2	137679239	137679922	+
1930	13	63094853	63095651	+
